HOG	OG	Gene Tree Parent Clade	Zymomonas_mobilis_ATCC10988	Zymomonas_mobilis_GLBRC	Zymomonas_mobilis_ZM4
N0.HOG0000042	OG0000017	n3	Zmob_1442	ZMO1_ZMO1697	ZMO1697
N0.HOG0000043	OG0000018	n1	Zmob_0808	ZMO1_ZMO0250	ZMO0250
N0.HOG0000044	OG0000018	n3	Zmob_0743	ZMO1_ZMO0079	ZMO0079
N0.HOG0000045	OG0000019	n1	Zmob_0988	ZMO1_ZMO0457	ZMO0457
N0.HOG0000046	OG0000019	n3	Zmob_0912	ZMO1_ZMO0372	ZMO0372
N0.HOG0000047	OG0000020	n1	Zmob_0915	ZMO1_ZMO0375	ZMO0375
N0.HOG0000048	OG0000020	n3	Zmob_0914	ZMO1_ZMO0374	ZMO0374
N0.HOG0000049	OG0000021	n1	Zmob_1367	ZMO1_ZMO1780	ZMO1780
N0.HOG0000050	OG0000021	n3	Zmob_1368	ZMO1_ZMO1779	ZMO1779
N0.HOG0000051	OG0000022	n1	Zmob_1550	ZMO1_ZMO1586	ZMO1586
N0.HOG0000052	OG0000022	n3	Zmob_1697	ZMO1_ZMO1410	ZMO1410
N0.HOG0000053	OG0000023	n1	Zmob_1629	ZMO1_ZMO1491	ZMO1491
N0.HOG0000054	OG0000023	n3	Zmob_1630	ZMO1_ZMO1490	ZMO1490
N0.HOG0000055	OG0000024	n1	Zmob_1686	ZMO1_ZMO1422	ZMO1422
N0.HOG0000056	OG0000024	n3	Zmob_1685	ZMO1_ZMO1423	ZMO1423
N0.HOG0000057	OG0000025	n0	Zmob_1855, Zmob_1827, Zmob_1868, Zmob_1872, Zmob_1764, Zmob_1805		
N0.HOG0000058	OG0000026	n0	Zmob_0362, Zmob_0541, Zmob_1659	ZMO1_ZMO0941	ZMO0941
N0.HOG0000059	OG0000027	n0	Zmob_0493	ZMO1_ZMO0090, ZMO1_ZMO0797	ZMO0090, ZMO0797
N0.HOG0000060	OG0000028	n0	Zmob_0734	ZMO1_ZMO0088, ZMO1_ZMO0089	ZMO0088, ZMO0089
N0.HOG0000061	OG0000029	n0	Zmob_0750	ZMO1_ZMO0573, ZMO1_ZMO0070	ZMO0573, ZMO0070
N0.HOG0000062	OG0000030	n0	Zmob_0976	ZMO1_ZMO1862, ZMO1_ZMO0442	ZMO1862, ZMO0442
N0.HOG0000063	OG0000031	n0	Zmob_1087	ZMO1_ZMO0562, ZMO1_ZMO0560	ZMO0562, ZMO0560
N0.HOG0000064	OG0000032	n0	Zmob_1208	ZMO1_ZMOp33x022, ZMO1_ZMOp33x023, ZMO1_ZMO1984	ZMO1984
N0.HOG0000065	OG0000033	n0	Zmob_1285	ZMO1_ZMO1882, ZMO1_ZMO1886	ZMO1882, ZMO1886
N0.HOG0000066	OG0000034	n0	Zmob_1366	ZMO1_ZMO1785, ZMO1_ZMO1781	ZMO1785, ZMO1781
N0.HOG0000067	OG0000035	n0	Zmob_1566	ZMO1_ZMO1463, ZMO1_ZMO1568	ZMO1463, ZMO1568
N0.HOG0000068	OG0000036	n0	Zmob_0100	ZMO1_ZMO1236, ZMO1_ZMOp33x021	ZMO1236
N0.HOG0000069	OG0000037	n0	Zmob_0540, Zmob_0104	ZMO1_ZMO1232	ZMO1232
N0.HOG0000070	OG0000038	n0	Zmob_1770, Zmob_0335	ZMO1_ZMO0971	ZMO0971
N0.HOG0000071	OG0000039	n0	Zmob_0508	ZMO1_ZMOp33x015, ZMO1_ZMO0783	ZMO0783
N0.HOG0000072	OG0000040	n0	Zmob_0513	ZMO1_ZMO0778, ZMO1_ZMO2000	ZMO0778
N0.HOG0000073	OG0000041	n0	Zmob_0543, Zmob_1029	ZMO1_ZMO0503	ZMO0503
N0.HOG0000074	OG0000042	n0	Zmob_0582	ZMO1_ZMOp39x031, ZMO1_ZMO0703	ZMO0703
N0.HOG0000075	OG0000043	n0	Zmob_0605	ZMO1_ZMOp33x008, ZMO1_ZMO0675	ZMO0675
N0.HOG0000076	OG0000044	n0	Zmob_0628	ZMO1_ZMO0213, ZMO1_ZMOp39x027	ZMO0213
N0.HOG0000077	OG0000045	n0	Zmob_1446, Zmob_0667	ZMO1_ZMO1694	ZMO1694
N0.HOG0000078	OG0000046	n0	Zmob_0692, Zmob_0693	ZMO1_ZMO0137	ZMO0137
N0.HOG0000079	OG0000047	n0	Zmob_1020	ZMO1_ZMOp33x020, ZMO1_ZMO0494	ZMO0494
N0.HOG0000080	OG0000048	n0	Zmob_1105	ZMO1_ZMOp33x010, ZMO1_ZMO0578	ZMO0578
N0.HOG0000081	OG0000049	n0	Zmob_1771, Zmob_1185	ZMO1_ZMO0013	ZMO0013
N0.HOG0000082	OG0000050	n0	Zmob_1746, Zmob_1197	ZMO1_ZMO0002	ZMO0002
N0.HOG0000083	OG0000051	n0	Zmob_1365	ZMO1_ZMO1782, ZMO1_ZMO1786	ZMO1786
N0.HOG0000084	OG0000052	n0	Zmob_1379, Zmob_1658	ZMO1_ZMO1767	ZMO1767
N0.HOG0000085	OG0000053	n0	Zmob_1556	ZMO1_ZMOp33x016, ZMO1_ZMO1578	ZMO1578
N0.HOG0000086	OG0000054	n0	Zmob_1559	ZMO1_ZMOp33x019, ZMO1_ZMO1574	ZMO1574
N0.HOG0000087	OG0000055	n0	Zmob_1824	ZMO1_ZMOp32x013, ZMO1_ZMOp33x030, ZMO1_ZMOp39x036	
N0.HOG0000088	OG0000056	n0		ZMO1_ZMOp36x036, ZMO1_ZMOp39x032, ZMO1_ZMOp32x016, ZMO1_ZMOp33x028	
N0.HOG0000089	OG0000057	-	Zmob_0001	ZMO1_ZMO1356	ZMO1356
N0.HOG0000090	OG0000058	-	Zmob_0002	ZMO1_ZMO1355	ZMO1355
N0.HOG0000091	OG0000059	-	Zmob_0003	ZMO1_ZMO1354	ZMO1354
N0.HOG0000092	OG0000060	-	Zmob_0004	ZMO1_ZMO1353	ZMO1353
N0.HOG0000093	OG0000061	-	Zmob_0005	ZMO1_ZMO1352	ZMO1352
N0.HOG0000094	OG0000062	-	Zmob_0006	ZMO1_ZMO1351	ZMO1351
N0.HOG0000095	OG0000063	-	Zmob_0007	ZMO1_ZMO1350	ZMO1350
N0.HOG0000096	OG0000064	-	Zmob_0008	ZMO1_ZMO1348	ZMO1348
N0.HOG0000097	OG0000065	-	Zmob_0009	ZMO1_ZMO1347	ZMO1347
N0.HOG0000098	OG0000066	-	Zmob_0010	ZMO1_ZMO1346	ZMO1346
N0.HOG0000099	OG0000067	-	Zmob_0011	ZMO1_ZMO1345	ZMO1345
N0.HOG0000100	OG0000068	-	Zmob_0012	ZMO1_ZMO1344	ZMO1344
N0.HOG0000101	OG0000069	-	Zmob_0013	ZMO1_ZMO1341	ZMO1341
N0.HOG0000102	OG0000070	-	Zmob_0014	ZMO1_ZMO2018	ZMO2018
N0.HOG0000103	OG0000071	-	Zmob_0015	ZMO1_ZMO1338	ZMO1338
N0.HOG0000104	OG0000072	-	Zmob_0016	ZMO1_ZMO1337	ZMO1337
N0.HOG0000105	OG0000073	-	Zmob_0017	ZMO1_ZMO1336	ZMO1336
N0.HOG0000106	OG0000074	-	Zmob_0018	ZMO1_ZMO1335	ZMO1335
N0.HOG0000107	OG0000075	-	Zmob_0019	ZMO1_ZMO1334	ZMO1334
N0.HOG0000108	OG0000076	-	Zmob_0020	ZMO1_ZMO1331	ZMO1331
N0.HOG0000109	OG0000077	-	Zmob_0021	ZMO1_ZMO1329	ZMO1329
N0.HOG0000110	OG0000078	-	Zmob_0022	ZMO1_ZMO1328	ZMO1328
N0.HOG0000111	OG0000079	-	Zmob_0023	ZMO1_ZMO1327	ZMO1327
N0.HOG0000112	OG0000080	-	Zmob_0024	ZMO1_ZMO1326	ZMO1326
N0.HOG0000113	OG0000081	-	Zmob_0025	ZMO1_ZMO1325	ZMO1325
N0.HOG0000114	OG0000082	-	Zmob_0026	ZMO1_ZMO1324	ZMO1324
N0.HOG0000115	OG0000083	-	Zmob_0027	ZMO1_ZMO1323	ZMO1323
N0.HOG0000116	OG0000084	-	Zmob_0028	ZMO1_ZMO1322	ZMO1322
N0.HOG0000117	OG0000085	-	Zmob_0029	ZMO1_ZMO1321	ZMO1321
N0.HOG0000118	OG0000086	-	Zmob_0030	ZMO1_ZMO1320	ZMO1320
N0.HOG0000119	OG0000087	-	Zmob_0031	ZMO1_ZMO1319	ZMO1319
N0.HOG0000120	OG0000088	-	Zmob_0032	ZMO1_ZMO1318	ZMO1318
N0.HOG0000121	OG0000089	-	Zmob_0033	ZMO1_ZMO1317	ZMO1317
N0.HOG0000122	OG0000090	-	Zmob_0034	ZMO1_ZMO1316	ZMO1316
N0.HOG0000123	OG0000091	-	Zmob_0035	ZMO1_ZMO1315	ZMO1315
N0.HOG0000124	OG0000092	-	Zmob_0036	ZMO1_ZMO1314	ZMO1314
N0.HOG0000125	OG0000093	-	Zmob_0037	ZMO1_ZMO1313	ZMO1313
N0.HOG0000126	OG0000094	-	Zmob_0038	ZMO1_ZMO1312	ZMO1312
N0.HOG0000127	OG0000095	-	Zmob_0039	ZMO1_ZMO1311	ZMO1311
N0.HOG0000128	OG0000096	-	Zmob_0040	ZMO1_ZMO1309	ZMO1309
N0.HOG0000129	OG0000097	-	Zmob_0041	ZMO1_ZMO1308	ZMO1308
N0.HOG0000130	OG0000098	-	Zmob_0042	ZMO1_ZMO1307	ZMO1307
N0.HOG0000131	OG0000099	-	Zmob_0043	ZMO1_ZMO1306	ZMO1306
N0.HOG0000132	OG0000100	-	Zmob_0044	ZMO1_ZMO1305	ZMO1305
N0.HOG0000133	OG0000101	-	Zmob_0045	ZMO1_ZMO1304	ZMO1304
N0.HOG0000134	OG0000102	-	Zmob_0046	ZMO1_ZMO1303	ZMO1303
N0.HOG0000135	OG0000103	-	Zmob_0047	ZMO1_ZMO1302	ZMO1302
N0.HOG0000136	OG0000104	-	Zmob_0049	ZMO1_ZMO1296	ZMO1296
N0.HOG0000137	OG0000105	-	Zmob_0052	ZMO1_ZMO2014	ZMO2014
N0.HOG0000138	OG0000106	-	Zmob_0053	ZMO1_ZMO1295	ZMO1295
N0.HOG0000139	OG0000107	-	Zmob_0054	ZMO1_ZMO1294	ZMO1294
N0.HOG0000140	OG0000108	-	Zmob_0056	ZMO1_ZMO1291	ZMO1291
N0.HOG0000141	OG0000109	-	Zmob_0057	ZMO1_ZMO1289	ZMO1289
N0.HOG0000142	OG0000110	-	Zmob_0058	ZMO1_ZMO1288	ZMO1288
N0.HOG0000143	OG0000111	-	Zmob_0059	ZMO1_ZMO1286	ZMO1286
N0.HOG0000144	OG0000112	-	Zmob_0060	ZMO1_ZMO1285	ZMO1285
N0.HOG0000145	OG0000113	-	Zmob_0061	ZMO1_ZMO1284	ZMO1284
N0.HOG0000146	OG0000114	-	Zmob_0062	ZMO1_ZMO1283	ZMO1283
N0.HOG0000147	OG0000115	-	Zmob_0063	ZMO1_ZMO1279	ZMO1279
N0.HOG0000148	OG0000116	-	Zmob_0064	ZMO1_ZMO1278	ZMO1278
N0.HOG0000149	OG0000117	-	Zmob_0065	ZMO1_ZMO1277	ZMO1277
N0.HOG0000150	OG0000118	-	Zmob_0066	ZMO1_ZMO1276	ZMO1276
N0.HOG0000151	OG0000119	-	Zmob_0067	ZMO1_ZMO1275	ZMO1275
N0.HOG0000152	OG0000120	-	Zmob_0068	ZMO1_ZMO1273	ZMO1273
N0.HOG0000153	OG0000121	-	Zmob_0069	ZMO1_ZMO1272	ZMO1272
N0.HOG0000154	OG0000122	-	Zmob_0070	ZMO1_ZMO1271	ZMO1271
N0.HOG0000155	OG0000123	-	Zmob_0071	ZMO1_ZMO1270	ZMO1270
N0.HOG0000156	OG0000124	-	Zmob_0072	ZMO1_ZMO2012	ZMO2012
N0.HOG0000157	OG0000125	-	Zmob_0073	ZMO1_ZMO1268	ZMO1268
N0.HOG0000158	OG0000126	-	Zmob_0076	ZMO1_ZMO1267	ZMO1267
N0.HOG0000159	OG0000127	-	Zmob_0077	ZMO1_ZMO1265	ZMO1265
N0.HOG0000160	OG0000128	-	Zmob_0078	ZMO1_ZMO1264	ZMO1264
N0.HOG0000161	OG0000129	-	Zmob_0079	ZMO1_ZMO1263	ZMO1263
N0.HOG0000162	OG0000130	-	Zmob_0080	ZMO1_ZMO1262	ZMO1262
N0.HOG0000163	OG0000131	-	Zmob_0084	ZMO1_ZMO1258	ZMO1258
N0.HOG0000164	OG0000132	-	Zmob_0085	ZMO1_ZMO1257	ZMO1257
N0.HOG0000165	OG0000133	-	Zmob_0086	ZMO1_ZMO1256	ZMO1256
N0.HOG0000166	OG0000134	-	Zmob_0087	ZMO1_ZMO1255	ZMO1255
N0.HOG0000167	OG0000135	-	Zmob_0088	ZMO1_ZMO1254	ZMO1254
N0.HOG0000168	OG0000136	-	Zmob_0089	ZMO1_ZMO1253	ZMO1253
N0.HOG0000169	OG0000137	-	Zmob_0090	ZMO1_ZMO1252	ZMO1252
N0.HOG0000170	OG0000138	-	Zmob_0091	ZMO1_ZMO1251	ZMO1251
N0.HOG0000171	OG0000139	-	Zmob_0094	ZMO1_ZMO1246	ZMO1246
N0.HOG0000172	OG0000140	-	Zmob_0095	ZMO1_ZMO1243	ZMO1243
N0.HOG0000173	OG0000141	-	Zmob_0096	ZMO1_ZMO1242	ZMO1242
N0.HOG0000174	OG0000142	-	Zmob_0097	ZMO1_ZMO1240	ZMO1240
N0.HOG0000175	OG0000143	-	Zmob_0098	ZMO1_ZMO1237	ZMO1237
N0.HOG0000176	OG0000144	-	Zmob_0101	ZMO1_ZMO1235	ZMO1235
N0.HOG0000177	OG0000145	-	Zmob_0103	ZMO1_ZMO1233	ZMO1233
N0.HOG0000178	OG0000146	-	Zmob_0105	ZMO1_ZMO1231	ZMO1231
N0.HOG0000179	OG0000147	-	Zmob_0106	ZMO1_ZMO1229	ZMO1229
N0.HOG0000180	OG0000148	-	Zmob_0107	ZMO1_ZMO1228	ZMO1228
N0.HOG0000181	OG0000149	-	Zmob_0108	ZMO1_ZMO1227	ZMO1227
N0.HOG0000182	OG0000150	-	Zmob_0109	ZMO1_ZMO1226	ZMO1226
N0.HOG0000183	OG0000151	-	Zmob_0110	ZMO1_ZMO1225	ZMO1225
N0.HOG0000184	OG0000152	-	Zmob_0111	ZMO1_ZMO1223	ZMO1223
N0.HOG0000185	OG0000153	-	Zmob_0112	ZMO1_ZMO1222	ZMO1222
N0.HOG0000186	OG0000154	-	Zmob_0113	ZMO1_ZMO1221	ZMO1221
N0.HOG0000187	OG0000155	-	Zmob_0114	ZMO1_ZMO1220	ZMO1220
N0.HOG0000188	OG0000156	-	Zmob_0115	ZMO1_ZMO1219	ZMO1219
N0.HOG0000189	OG0000157	-	Zmob_0116	ZMO1_ZMO1218	ZMO1218
N0.HOG0000190	OG0000158	-	Zmob_0117	ZMO1_ZMO2011	ZMO2011
N0.HOG0000191	OG0000159	-	Zmob_0118	ZMO1_ZMO1216	ZMO1216
N0.HOG0000192	OG0000160	-	Zmob_0119	ZMO1_ZMO1215	ZMO1215
N0.HOG0000193	OG0000161	-	Zmob_0120	ZMO1_ZMO1214	ZMO1214
N0.HOG0000194	OG0000162	-	Zmob_0121	ZMO1_ZMO1213	ZMO1213
N0.HOG0000195	OG0000163	-	Zmob_0122	ZMO1_ZMO1212	ZMO1212
N0.HOG0000196	OG0000164	-	Zmob_0123	ZMO1_ZMO1211	ZMO1211
N0.HOG0000197	OG0000165	-	Zmob_0124	ZMO1_ZMO1209	ZMO1209
N0.HOG0000198	OG0000166	-	Zmob_0125	ZMO1_ZMO1207	ZMO1207
N0.HOG0000199	OG0000167	-	Zmob_0126	ZMO1_ZMO1206	ZMO1206
N0.HOG0000200	OG0000168	-	Zmob_0127	ZMO1_ZMO1205	ZMO1205
N0.HOG0000201	OG0000169	-	Zmob_0128	ZMO1_ZMO1203	ZMO1203
N0.HOG0000202	OG0000170	-	Zmob_0129	ZMO1_ZMO1202	ZMO1202
N0.HOG0000203	OG0000171	-	Zmob_0130	ZMO1_ZMO1201	ZMO1201
N0.HOG0000204	OG0000172	-	Zmob_0131	ZMO1_ZMO1200	ZMO1200
N0.HOG0000205	OG0000173	-	Zmob_0132	ZMO1_ZMO1198	ZMO1198
N0.HOG0000206	OG0000174	-	Zmob_0133	ZMO1_ZMO1197	ZMO1197
N0.HOG0000207	OG0000175	-	Zmob_0134	ZMO1_ZMO1196	ZMO1196
N0.HOG0000208	OG0000176	-	Zmob_0135	ZMO1_ZMO1195	ZMO1195
N0.HOG0000209	OG0000177	-	Zmob_0136	ZMO1_ZMO1194	ZMO1194
N0.HOG0000210	OG0000178	-	Zmob_0137	ZMO1_ZMO1193	ZMO1193
N0.HOG0000211	OG0000179	-	Zmob_0138	ZMO1_ZMO1192	ZMO1192
N0.HOG0000212	OG0000180	-	Zmob_0139	ZMO1_ZMO1191	ZMO1191
N0.HOG0000213	OG0000181	-	Zmob_0140	ZMO1_ZMO1190	ZMO1190
N0.HOG0000214	OG0000182	-	Zmob_0141	ZMO1_ZMO1189	ZMO1189
N0.HOG0000215	OG0000183	-	Zmob_0142	ZMO1_ZMO1188	ZMO1188
N0.HOG0000216	OG0000184	-	Zmob_0143	ZMO1_ZMO1187	ZMO1187
N0.HOG0000217	OG0000185	-	Zmob_0144	ZMO1_ZMO1186	ZMO1186
N0.HOG0000218	OG0000186	-	Zmob_0145	ZMO1_ZMO1185	ZMO1185
N0.HOG0000219	OG0000187	-	Zmob_0146	ZMO1_ZMO1184	ZMO1184
N0.HOG0000220	OG0000188	-	Zmob_0147	ZMO1_ZMO1183	ZMO1183
N0.HOG0000221	OG0000189	-	Zmob_0148	ZMO1_ZMO1182	ZMO1182
N0.HOG0000222	OG0000190	-	Zmob_0149	ZMO1_ZMO1181	ZMO1181
N0.HOG0000223	OG0000191	-	Zmob_0150	ZMO1_ZMO1180	ZMO1180
N0.HOG0000224	OG0000192	-	Zmob_0151	ZMO1_ZMO1179	ZMO1179
N0.HOG0000225	OG0000193	-	Zmob_0152	ZMO1_ZMO1178	ZMO1178
N0.HOG0000226	OG0000194	-	Zmob_0153	ZMO1_ZMO1177	ZMO1177
N0.HOG0000227	OG0000195	-	Zmob_0154	ZMO1_ZMO1176	ZMO1176
N0.HOG0000228	OG0000196	-	Zmob_0155	ZMO1_ZMO1174	ZMO1174
N0.HOG0000229	OG0000197	-	Zmob_0156	ZMO1_ZMO1173	ZMO1173
N0.HOG0000230	OG0000198	-	Zmob_0157	ZMO1_ZMO1172	ZMO1172
N0.HOG0000231	OG0000199	-	Zmob_0158	ZMO1_ZMO1171	ZMO1171
N0.HOG0000232	OG0000200	-	Zmob_0159	ZMO1_ZMO1170	ZMO1170
N0.HOG0000233	OG0000201	-	Zmob_0160	ZMO1_ZMO1169	ZMO1169
N0.HOG0000234	OG0000202	-	Zmob_0161	ZMO1_ZMO1167	ZMO1167
N0.HOG0000235	OG0000203	-	Zmob_0162	ZMO1_ZMO1166	ZMO1166
N0.HOG0000236	OG0000204	-	Zmob_0163	ZMO1_ZMO1165	ZMO1165
N0.HOG0000237	OG0000205	-	Zmob_0164	ZMO1_ZMO1164	ZMO1164
N0.HOG0000238	OG0000206	-	Zmob_0165	ZMO1_ZMO1163	ZMO1163
N0.HOG0000239	OG0000207	-	Zmob_0166	ZMO1_ZMO1162	ZMO1162
N0.HOG0000240	OG0000208	-	Zmob_0167	ZMO1_ZMO1160	ZMO1160
N0.HOG0000241	OG0000209	-	Zmob_0168	ZMO1_ZMO1159	ZMO1159
N0.HOG0000242	OG0000210	-	Zmob_0169	ZMO1_ZMO1158	ZMO1158
N0.HOG0000243	OG0000211	-	Zmob_0171	ZMO1_ZMO1156	ZMO1156
N0.HOG0000244	OG0000212	-	Zmob_0172	ZMO1_ZMO1155	ZMO1155
N0.HOG0000245	OG0000213	-	Zmob_0173	ZMO1_ZMO1154	ZMO1154
N0.HOG0000246	OG0000214	-	Zmob_0174	ZMO1_ZMO1153	ZMO1153
N0.HOG0000247	OG0000215	-	Zmob_0175	ZMO1_ZMO1152	ZMO1152
N0.HOG0000248	OG0000216	-	Zmob_0176	ZMO1_ZMO1151	ZMO1151
N0.HOG0000249	OG0000217	-	Zmob_0177	ZMO1_ZMO1150	ZMO1150
N0.HOG0000250	OG0000218	-	Zmob_0178	ZMO1_ZMO1149	ZMO1149
N0.HOG0000251	OG0000219	-	Zmob_0179	ZMO1_ZMO1148	ZMO1148
N0.HOG0000252	OG0000220	-	Zmob_0180	ZMO1_ZMO1147	ZMO1147
N0.HOG0000253	OG0000221	-	Zmob_0181	ZMO1_ZMO1146	ZMO1146
N0.HOG0000254	OG0000222	-	Zmob_0182	ZMO1_ZMO1145	ZMO1145
N0.HOG0000255	OG0000223	-	Zmob_0183	ZMO1_ZMO1144	ZMO1144
N0.HOG0000256	OG0000224	-	Zmob_0185	ZMO1_ZMO1142	ZMO1142
N0.HOG0000257	OG0000225	-	Zmob_0186	ZMO1_ZMO1141	ZMO1141
N0.HOG0000258	OG0000226	-	Zmob_0187	ZMO1_ZMO1140	ZMO1140
N0.HOG0000259	OG0000227	-	Zmob_0188	ZMO1_ZMO1139	ZMO1139
N0.HOG0000260	OG0000228	-	Zmob_0189	ZMO1_ZMO1138	ZMO1138
N0.HOG0000261	OG0000229	-	Zmob_0190	ZMO1_ZMO1137	ZMO1137
N0.HOG0000262	OG0000230	-	Zmob_0191	ZMO1_ZMO1136	ZMO1136
N0.HOG0000263	OG0000231	-	Zmob_0192	ZMO1_ZMO1135	ZMO1135
N0.HOG0000264	OG0000232	-	Zmob_0193	ZMO1_ZMO1134	ZMO1134
N0.HOG0000265	OG0000233	-	Zmob_0194	ZMO1_ZMO1133	ZMO1133
N0.HOG0000266	OG0000234	-	Zmob_0195	ZMO1_ZMO1132	ZMO1132
N0.HOG0000267	OG0000235	-	Zmob_0196	ZMO1_ZMO1131	ZMO1131
N0.HOG0000268	OG0000236	-	Zmob_0198	ZMO1_ZMO1130	ZMO1130
N0.HOG0000269	OG0000237	-	Zmob_0199	ZMO1_ZMO1129	ZMO1129
N0.HOG0000270	OG0000238	-	Zmob_0200	ZMO1_ZMO1128	ZMO1128
N0.HOG0000271	OG0000239	-	Zmob_0201	ZMO1_ZMO1127	ZMO1127
N0.HOG0000272	OG0000240	-	Zmob_0202	ZMO1_ZMO1126	ZMO1126
N0.HOG0000273	OG0000241	-	Zmob_0203	ZMO1_ZMO1125	ZMO1125
N0.HOG0000274	OG0000242	-	Zmob_0204	ZMO1_ZMO1124	ZMO1124
N0.HOG0000275	OG0000243	-	Zmob_0206	ZMO1_ZMO1121	ZMO1121
N0.HOG0000276	OG0000244	-	Zmob_0207	ZMO1_ZMO1118	ZMO1118
N0.HOG0000277	OG0000245	-	Zmob_0208	ZMO1_ZMO1117	ZMO1117
