HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_ATCC_17978	Aggregatibacter_actinomycetemcomitans_624	Aggregatibacter_actinomycetemcomitans_VT1169	Agrobacterium_fabrum	Azoarcus_olearius_DQS-4	Bacteroides_thetaiotaomicron_VPI-5482	Bradyrhizobium_diazoefficiens	Brevundimonas_subvibrioides	Burkholderia_cenocepacia_J2315	Campylobacter_jejuni_81-176	Caulobacter_crescentus	Caulobacter_vibrioides	Citrobacter_rodentium_ICC168	Clostridium_difficile_R20291	Enterobacter_cloacae_ATCC_13047	Escherichia_coli_BW25113	Escherichia_coli_Nissle_1917	Escherichia_coli_UTI89	Francisella_tularensis_Schu_S4	Herbaspirillum_seropedicae_SmR1	Klebsiella_pneumoniae_ATCC_43816_KPPR1	Legionella_pneumophila_Philadelphia_1	Mycobacterium_tuberculosis_H37Rv	Neisseria_meningitidis_Z2491	Novosphingobium_aromaticivorans	Porphyromonas_gingivalis_ATCC_33277	Providencia_stuartii_BE2467	Pseudomonas_aeruginosa_PAO1	Pseudomonas_aeruginosa_UCBPP-PA14	Pseudomonas_simiae_WCS417	Pseudomonas_syringae_B728a	Ralstonia_solanacearum_GMI1000	Ralstonia_solanacearum_IBSBF1503	Ralstonia_solanacearum_PSI07	Rhodobacter_sphaeroides	Rhodopseudomonas_palustris	Salmonella_enterica_14028S	Salmonella_typhi_CT18	Salmonella_typhimurium_SL1344	Snodgrassella_alvi_wkB2	Sphingomonas_wittichii	Staphylococcus_aureus_6850	Staphylococcus_aureus_MRSA252	Staphylococcus_aureus_MSSA476	Staphylococcus_aureus_NCTC_8325	Staphylococcus_aureus_USA300_TCH1516	Streptococcus_agalactiae_A909	Streptococcus_pneumoniae_BHN97x	Streptococcus_pneumoniae_TIGR4	Streptococcus_pyogenes_5448	Vibrio_anguillarum_425	Vibrio_cholerae_N16961	Vibrio_fischeri_ES114	Yersinia_pestis_CO92	Zymomonas_mobilis
N0.HOG0000010	OG0000000	n113				At1D132_30860, At1D132_31520			BA000040v2__4629, BA000040v2__6433, BA000040v2__4920		BCAL3038																			PA3187	PA14_23010	PS417_22130	Psyr_1116				RSP_4034																				
N0.HOG0000011	OG0000000	n123				At1D132_29420, At1D132_46200					BCAM0096				ROD_28881	CDR20291_2349	ECL_04172, ECL_01789		ECOLIN_07670	UTI89_C1589		Hsero_3397	VK055_4266																					RSAU_000157	SAR0205	SAS0189	SAOUHSC_00175	USA300HOU_0220	SAK_1884	CWI64_03315	SP_1580	SP5448_08555	B5S57_00750, B5S57_03525		VF_2046	YPO0609, YPO1720	
N0.HOG0000012	OG0000000	n147				At1D132_43380										CDR20291_3239																																									
N0.HOG0000013	OG0000000	n148														CDR20291_2981							VK055_3013																											CWI64_08200, CWI64_04480	SP_0242, SP_1825						
N0.HOG0000014	OG0000000	n153							BA000040v2__7283		BCAM0672																					PS417_11575	Psyr_2335				RSP_3396																				
N0.HOG0000015	OG0000000	n161				At1D132_28970			BA000040v2__3701, BA000040v2__3355, BA000040v2__5652																												RSP_3338																				
N0.HOG0000016	OG0000000	n167													ROD_15931		ECL_01849, ECL_01850	BW25113_1441	ECOLIN_08025	UTI89_C1660			VK055_0554									PS417_05935				RPSI07_1594																					
N0.HOG0000017	OG0000000	n175		ACT75_00515		At1D132_39800, At1D132_47520, At1D132_51440, At1D132_42710, At1D132_44830, At1D132_41210, At1D132_18330, At1D132_02370			BA000040v2__3309, BA000040v2__7192		BCAL0597, BCAL1823		CC_3134	CCNA_03235	ROD_08611		ECL_02818	BW25113_0855	ECOLIN_04425	UTI89_C0858	FTT_0562		VK055_1603			NMA0816				PA0326, PA0206, PA3607, PA0302	PA14_04250, PA14_17640, PA14_03940	PS417_27115	Psyr_4863				RSP_2400, RSP_0349, RSP_3041, RSP_0015, RSP_3516	RPA4160	STM14_1029	AL513382v1__1794	SL1344_0855	SALWKB2_1626														YPO1332	
N0.HOG0000018	OG0000000	n217		ACT75_09915	ACT74_05555										ROD_12141		ECL_02511	BW25113_1126	ECOLIN_06335	UTI89_C1254			VK055_1330						BGK56_15755										STM14_1403	AL513382v1__2361	SL1344_1163												B5S57_13465	VC_1428	VF_1315		
N0.HOG0000019	OG0000000	n231						BT_1291								CDR20291_0880																												RSAU_000984	SAR1073	SAS1034	SAOUHSC_01046	USA300HOU_1042	SAK_1196	CWI64_02420	SP_1389	SP5448_05460					
N0.HOG0000020	OG0000000	n241							BA000040v2__3613, BA000040v2__6916, BA000040v2__6731		BCAM0952											Hsero_1081								PA0603	PA14_07860	PS417_25760	Psyr_2398, Psyr_4615	RSc1734	RALBFv3_01235	RPSI07_1778	RSP_2159, RSP_1882	RPA4650																		YPO2846	
N0.HOG0000021	OG0000000	n259									BCAM1377											Hsero_4532	VK055_0377											RSc2939	RALBFv3_06775	RPSI07_0560																				YPO3048	
N0.HOG0000022	OG0000000	n265									BCAL1113											Hsero_0601	VK055_0596									PS417_15440	Psyr_4692	RSc1794	RALBFv3_00970	RPSI07_1833		RPA1479																			
N0.HOG0000023	OG0000000	n273		ACT75_01330, ACT75_11045, ACT75_02655	ACT74_02920, ACT74_01920, ACT74_01315	At1D132_42620	dqs_3978				BCAL0448	CJJ81176_0755			ROD_04041	CDR20291_2785, CDR20291_3365	ECL_01117	BW25113_0262				Hsero_2232							BGK56_03190, BGK56_11595	PA3254	PA14_21910	PS417_09340, PS417_26945	Psyr_1602		RALBFv3_19850																		B5S57_04150, B5S57_13400	VC_A0687, VC_A0602	VF_A1091		
N0.HOG0000024	OG0000000	n301									BCAM2497												VK055_3405																STM14_0506	AL513382v1__907	SL1344_0422																
N0.HOG0000025	OG0000000	n305	A1S_2536			At1D132_05040, At1D132_32970	dqs_1454		BA000040v2__1490		BCAL1655		CC_1598	CCNA_01670	ROD_23831		ECL_03750	BW25113_2422	ECOLIN_13425	UTI89_C2755		Hsero_1657	VK055_4741		Rv2397c	NMA1097			BGK56_06225	PA0280	PA14_03650	PS417_00945	Psyr_0081	RSc1347	RALBFv3_00095	RPSI07_2020	RSP_3696, RSP_3858	RPA0747	STM14_2999	AL513382v1__5304	SL1344_2404	SALWKB2_0203											B5S57_17785	VC_0541		YPO3012	
N0.HOG0000026	OG0000000	n340		ACT75_09855, ACT75_00980	ACT74_02610, ACT74_02315	At1D132_23890, At1D132_22400	dqs_3986		BA000040v2__8255, BA000040v2__7040, BA000040v2__1813	Bresu_0115	BCAM0890	CJJ81176_0322			ROD_00731, ROD_07611	CDR20291_0800	ECL_00862, ECL_02972	BW25113_0066, BW25113_0765	ECOLIN_00335, ECOLIN_03950	UTI89_C0074, UTI89_C0763		Hsero_2115	VK055_2509, VK055_1756		Rv1859	NMA0393	Saro_0214		BGK56_17270, BGK56_18715	PA1861	PA14_40420	PS417_14125	Psyr_2758	RSp1145	RALBFv3_18290	RPSI07_mp1181	RSP_1393, RSP_3869	RPA4715	STM14_0125, STM14_0909	AL513382v1__238, AL513382v1__1595	SL1344_0106, SL1344_0760	SALWKB2_0613, SALWKB2_1952	Swit_4416	RSAU_002111	SAR2361	SAS2167	SAOUHSC_02546	USA300HOU_2259					B5S57_07895, B5S57_14230, B5S57_02000	VC_2537, VC_A0724	VF_0269, VF_A0292	YPO0520, YPO1147	
N0.HOG0000027	OG0000000	n405		ACT75_02495, ACT75_05255	ACT74_02030, ACT74_00140	At1D132_00790	dqs_2340				BCAL1090	CJJ81176_0209				CDR20291_2202	ECL_03173					Hsero_3313	VK055_1477			NMA0842				PA3538	PA14_18600	PS417_05590	Psyr_3902				RSP_2539																B5S57_17425	VC_0610	VF_2149	YPO2960	
N0.HOG0000028	OG0000000	n428							BA000040v2__6570																													RPA2040					Swit_0787														
N0.HOG0000029	OG0000000	n432																																																CWI64_04655	SP_1861						
N0.HOG0000030	OG0000000	n436									BCAS0128				ROD_14731	CDR20291_0830	ECL_02216					Hsero_1716			Rv3758c					PA3891	PA14_13580	PS417_04010	Psyr_4249						STM14_1802	AL513382v1__2957	SL1344_1421			RSAU_002288	SAR2538	SAS2340	SAOUHSC_02744	USA300HOU_2437									
N0.HOG0000031	OG0000000	n454				At1D132_26920					BCAM2383				ROD_22421		ECL_03439	BW25113_2129	ECOLIN_24785, ECOLIN_12050	UTI89_C2402			VK055_4957																STM14_2667	AL513382v1__4554	SL1344_2141			RSAU_000696	SAR0775	SAS0687	SAOUHSC_00731	USA300HOU_0745								YPO1198	
N0.HOG0000032	OG0000000	n471																																															SAK_2068			SP5448_05325					
N0.HOG0000033	OG0000000	n472		ACT75_02870	ACT74_04245																																																				
N0.HOG0000034	OG0000000	n473				At1D132_19570, At1D132_37130, At1D132_35950, At1D132_37980, At1D132_05730		BT_1751			BCAM2410				ROD_31311		ECL_04017	BW25113_2677	ECOLIN_14430	UTI89_C3037			VK055_4509						BGK56_18085	PA5376, PA5094	PA14_71000, PA14_67270	PS417_26325	Psyr_4711, Psyr_4831	RSp0066			RSP_2179, RSP_4000, RSP_3057		STM14_3391		SL1344_2794								SAK_1818			SP5448_00955	B5S57_02280, B5S57_02480		VF_0787	YPO2647	
N0.HOG0000035	OG0000000	n507																																										RSAU_000125	SAR0173	SAS0147	SAOUHSC_00136	USA300HOU_0185									
N0.HOG0000036	OG0000000	n512											CC_1831	CCNA_01907			ECL_02197					Hsero_4474											Psyr_3974					RPA1408																			
N0.HOG0000037	OG0000000	n523							BA000040v2__6282	Bresu_1220			CC_2634	CCNA_02717																																											
N0.HOG0000038	OG0000000	n535														CDR20291_1901																																		CWI64_06705	SP_2196						
N0.HOG0000039	OG0000000	n539							BA000040v2__414																					PA3514								RPA3385																			
N0.HOG0000040	OG0000000	n542							BA000040v2__6569													Hsero_3675												RSc1199	RALBFv3_15175	RPSI07_2178		RPA2041																			
N0.HOG0000041	OG0000000	n547									BCAL3499											Hsero_3388																RPA0883																			
N0.HOG0000042	OG0000000	n549							BA000040v2__3386																												RSP_0645	RPA2497																	VF_A0317		
N0.HOG0000043	OG0000000	n553				At1D132_20730			BA000040v2__4275, BA000040v2__92													Hsero_0461	VK055_0423															RPA0469																			
N0.HOG0000044	OG0000000	n558				At1D132_07540, At1D132_42910	dqs_3656		BA000040v2__2906													Hsero_4262															RSP_0941, RSP_3167																				
N0.HOG0000045	OG0000000	n570									BCAL2573, BCAS0349																			PA2329	PA14_34500	PS417_14415																									
N0.HOG0000046	OG0000000	n574									BCAS0340																			PA3447	PA14_19520	PS417_12945	Psyr_2514																								
N0.HOG0000047	OG0000000	n578							BA000040v2__6534		BCAM1387																					PS417_16140						RPA2633																			
N0.HOG0000048	OG0000000	n582									BCAM1123																			PA0184	PA14_02330							RPA1364																			
N0.HOG0000049	OG0000000	n589	A1S_1722						BA000040v2__5884		BCAL2053																			PA2294																											
N0.HOG0000050	OG0000000	n597																																RSp1507	RALBFv3_16670	RPSI07_mp1522																					
N0.HOG0000051	OG0000000	n600																				Hsero_0056										PS417_00635	Psyr_0338																								
N0.HOG0000052	OG0000000	n602																				Hsero_2526															RSP_3154																				
N0.HOG0000053	OG0000000	n603																												PA2308	PA14_34780																										
N0.HOG0000054	OG0000000	n604							BA000040v2__6172																												RSP_2596																				
N0.HOG0000055	OG0000000	n605							BA000040v2__3258, BA000040v2__6329																																																
N0.HOG0000056	OG0000000	n606							BA000040v2__3361													Hsero_0376																																			
N0.HOG0000057	OG0000000	n607																				Hsero_1487																RPA2679																			
N0.HOG0000058	OG0000000	n608	A1S_1443								BCAL0712				ROD_04111		ECL_01124	BW25113_0366	ECOLIN_02190	UTI89_C0385		Hsero_2330	VK055_2244							PA3937	PA14_12940	PS417_01145																								YPO0183	
N0.HOG0000059	OG0000000	n620	A1S_1285								BCAS0275																																														
N0.HOG0000060	OG0000000	n621							BA000040v2__114		BCAM1957					CDR20291_1332, CDR20291_2825, CDR20291_0854					FTT_0175c, FTT_0266	Hsero_0539		lpg0122									Psyr_5090	RSc3372	RALBFv3_09080	RPSI07_0068							Swit_0271														ZMO1_ZMO0572
N0.HOG0000061	OG0000000	n635							BA000040v2__921																													RPA2622																			
N0.HOG0000062	OG0000000	n637					dqs_2627		BA000040v2__5812																													RPA2114																			
N0.HOG0000063	OG0000000	n639				At1D132_36680	dqs_1018		BA000040v2__2873				CC_0611	CCNA_00647	ROD_17891		ECL_01615					Hsero_1209	VK055_0230											RSc0379	RALBFv3_11020	RPSI07_3029																					
N0.HOG0000064	OG0000000	n651	A1S_0026			At1D132_39040	dqs_2528		BA000040v2__7095		BCAL1621				ROD_10021		ECL_02706	BW25113_0933	ECOLIN_26435, ECOLIN_04825	UTI89_C1005		Hsero_1651	VK055_1518						BGK56_04845	PA3442	PA14_19580	PS417_27155	Psyr_3597, Psyr_4874	RSc1341	RALBFv3_00065	RPSI07_2026		RPA2610					Swit_2510													YPO3627	ZMO1_ZMO1263
N0.HOG0000065	OG0000000	n676				At1D132_46510	dqs_3063, dqs_2536																															RPA0131																			
N0.HOG0000066	OG0000000	n682	A1S_2376				dqs_1436	BT_0072, BT_0878			BCAL1846	CJJ81176_1523			ROD_05451		ECL_01257	BW25113_0490	ECOLIN_02820	UTI89_C0525	FTT_0208c		VK055_2080						BGK56_01210			PS417_17985		RSp0428, RSc2632, RSc0749	RALBFv3_05320, RALBFv3_12980	RPSI07_0885, RPSI07_2591			STM14_0590	AL513382v1__1089	SL1344_0495	SALWKB2_0540		RSAU_002294	SAR2544	SAS2346	SAOUHSC_02754	USA300HOU_2444	SAK_0816								
N0.HOG0000067	OG0000000	n713	A1S_1361	ACT75_01050	ACT74_02260	At1D132_04320	dqs_2355								ROD_21051	CDR20291_0099, CDR20291_0098, CDR20291_0332							VK055_4341														RSP_3211			AL513382v1__4157				RSAU_002057, RSAU_002058	SAR2304, SAR2305	SAS2112, SAS2113	SAOUHSC_02482, SAOUHSC_02483	USA300HOU_2212, USA300HOU_2213	SAK_2108, SAK_2109	CWI64_06825, CWI64_06830	SP_2220, SP_2221	SP5448_09335, SP5448_09340					
N0.HOG0000068	OG0000000	n746		ACT75_07470	ACT74_09010	At1D132_34030	dqs_0842	BT_1376	BA000040v2__1392	Bresu_3301		CJJ81176_1293	CC_2216	CCNA_02299	ROD_43581		ECL_04825	BW25113_3463	ECOLIN_19145	UTI89_C3978		Hsero_4147	VK055_3641	lpg2669	Rv3102c	NMA0254	Saro_0701	PGN_0097	BGK56_16135	PA0374	PA14_04910	PS417_26805	Psyr_4750				RSP_0733	RPA4736	STM14_4298	AL513382v1__8578	SL1344_3535	SALWKB2_0023	Swit_3013						SAK_0669	CWI64_10710	SP_0756	SP5448_06900	B5S57_19805	VC_0148	VF_2452	YPO3813	ZMO1_ZMO0416
N0.HOG0000069	OG0000000	n794																																										RSAU_000394	SAR0461	SAS0419	SAOUHSC_00423										
N0.HOG0000070	OG0000000	n800																																					STM14_0601	AL513382v1__1110	SL1344_0504																
N0.HOG0000071	OG0000000	n803		ACT75_08560	ACT74_10250										ROD_02091		ECL_01003	BW25113_0199	ECOLIN_01060	UTI89_C0215			VK055_2353						BGK56_17980										STM14_0289	AL513382v1__592	SL1344_0248												B5S57_16090	VC_0907	VF_0686	YPO1073	
N0.HOG0000072	OG0000000	n820													ROD_13761		ECL_02359																											RSAU_000787	SAR0870	SAS0779	SAOUHSC_00842	USA300HOU_0847									
N0.HOG0000073	OG0000000	n827	A1S_2192																				VK055_1073						BGK56_06100																												
N0.HOG0000074	OG0000000	n830								Bresu_2174			CC_2669	CCNA_02751																																											
N0.HOG0000075	OG0000000	n833	A1S_1483			At1D132_41820			BA000040v2__4573		BCAL2938											Hsero_0994	VK055_4368, VK055_0835							PA2350	PA14_34270	PS417_01065	Psyr_0350	RSc0920	RALBFv3_13825	RPSI07_2464	RSP_0129	RPA2360, RPA1426																		YPO1318	
N0.HOG0000076	OG0000000	n852																				Hsero_1560								PA5503	PA14_72620	PS417_00360	Psyr_0281																								
N0.HOG0000077	OG0000000	n856																																															SAK_1653	CWI64_07780	SP_0151	SP5448_08145					
N0.HOG0000078	OG0000000	n859				At1D132_26690			BA000040v2__8040	Bresu_3249			CC_0361	CCNA_00366			ECL_00362	BW25113_4106	ECOLIN_23025	UTI89_C4700		Hsero_4729	VK055_2268							PA3384	PA14_20300		Psyr_2247					RPA0700						RSAU_000096	SAR0144	SAS0116	SAOUHSC_00104	USA300HOU_0154	SAK_0899							YPO1182	
N0.HOG0000079	OG0000000	n880										CJJ81176_0795				CDR20291_1339																																									
N0.HOG0000080	OG0000000	n883					dqs_3425	BT_3640																	Rv0073, Rv2564			PGN_0420																													
N0.HOG0000081	OG0000000	n888														CDR20291_2890, CDR20291_1381, CDR20291_2758, CDR20291_3049, CDR20291_1388, CDR20291_2820, CDR20291_0536																												RSAU_002466, RSAU_000637, RSAU_002546	SAR2701, SAR0671, SAR2781	SAS2509, SAS0626, SAS2585	SAOUHSC_02954, SAOUHSC_00667, SAOUHSC_03036	USA300HOU_2622, USA300HOU_0682, USA300HOU_2703	SAK_1069	CWI64_00180	SP_0912	SP5448_08300					
N0.HOG0000082	OG0000000	n914						BT_2494, BT_0694, BT_0860, BT_1466, BT_1535																lpg2923				PGN_0448, PGN_0721, PGN_1681															Swit_2150			SAS0173			SAK_1393	CWI64_10865	SP_0786	SP5448_08765, SP5448_06325	B5S57_00650	VC_1568	VF_1165		
N0.HOG0000083	OG0000000	n935																																															SAK_1099	CWI64_03640	SP_1653	SP5448_04780					
N0.HOG0000084	OG0000000	n940		ACT75_01530	ACT74_04585							CJJ81176_1654								UTI89_P015																																				YPO1946	
N0.HOG0000085	OG0000000	n945														CDR20291_0341, CDR20291_1884, CDR20291_1878, CDR20291_3423, CDR20291_1315, CDR20291_0400, CDR20291_0862, CDR20291_0426, CDR20291_1870, CDR20291_2421																																									
N0.HOG0000086	OG0000000	n957	A1S_0986			At1D132_23570	dqs_1817		BA000040v2__462		BCAL1991		CC_1759	CCNA_01835	ROD_05501		ECL_01262	BW25113_0495	ECOLIN_02845	UTI89_C0530		Hsero_2237	VK055_2075				Saro_1151		BGK56_07735	PA2857	PA14_27150	PS417_08400	Psyr_2067	RSc1718	RALBFv3_01305	RPSI07_1763	RSP_3602	RPA0196	STM14_0595	AL513382v1__1102	SL1344_0500		Swit_0125										B5S57_02365	VC_A0782	VF_A1043	YPO3079	
N0.HOG0000087	OG0000000	n989				At1D132_47790	dqs_2037		BA000040v2__1004																							PS417_17775	Psyr_3743				RSP_1542	RPA4809															B5S57_14115	VC_1630	VF_0884		
N0.HOG0000088	OG0000000	n999				At1D132_15140	dqs_0905	BT_1214	BA000040v2__7068, BA000040v2__5382		BCAL0191					CDR20291_1377	ECL_01033					Hsero_2386								PA4594	PA14_60790	PS417_16750		RSp1464	RALBFv3_17200	RPSI07_mp1433	RSP_3374																B5S57_04720	VC_A0855	VF_A0737	YPO1497	
N0.HOG0000089	OG0000000	n1018				At1D132_46650	dqs_0065			Bresu_1079			CC_2091	CCNA_02173																																											
N0.HOG0000090	OG0000000	n1022	A1S_2611	ACT75_10935	ACT74_01820	At1D132_09760	dqs_1633		BA000040v2__4951	Bresu_1963	BCAL2185		CC_1929, CC_0932	CCNA_02006, CCNA_00981	ROD_11841		ECL_02519	BW25113_1117	ECOLIN_06290	UTI89_C1245	FTT_0405	Hsero_2777	VK055_1349	lpg2284		NMA1402	Saro_1766		BGK56_04885	PA2987	PA14_25440	PS417_07670	Psyr_1905	RSc1118	RALBFv3_14740	RPSI07_2258	RSP_0776	RPA2926, RPA1650	STM14_1393	AL513382v1__2342	SL1344_1155	SALWKB2_0872	Swit_2345										B5S57_11105	VC_1883	VF_A0463	YPO1627	ZMO1_ZMO0458
N0.HOG0000091	OG0000000	n1065							BA000040v2__8081																		Saro_3583																														
N0.HOG0000092	OG0000000	n1066										CJJ81176_1195			ROD_03481	CDR20291_3485, CDR20291_1804								lpg0849						PA0073	PA14_00860	PS417_27900	Psyr_2628											RSAU_000255, RSAU_002194, RSAU_000925	SAR0306, SAR2445, SAR1004, SAR0697	SAS0286, SAS2250, SAS0968, pSAS01	SAOUHSC_00287, SAOUHSC_02640, SAOUHSC_00970	USA300HOU_0329, USA300HOU_2342	SAK_0173, SAK_0699, SAK_0812	CWI64_07520, CWI64_05320, CWI64_05480, CWI64_10390, CWI64_09975, CWI64_02760, CWI64_02185	SP_0111, SP_1957, SP_1987, SP_0687, SP_0600, SP_1341	SP5448_06590					
N0.HOG0000093	OG0000000	n1107																										PGN_1318															Swit_0015														ZMO1_ZMO1590
N0.HOG0000094	OG0000000	n1115	A1S_1398									CJJ81176_0494																				PS417_01025	Psyr_2942																		SP_0709						
N0.HOG0000095	OG0000000	n1124				At1D132_40170																				NMA0900				PA4192				RSp0932, RSc2260	RALBFv3_03900	RPSI07_mp0646, RPSI07_1162						SALWKB2_0141															
N0.HOG0000096	OG0000000	n1132	A1S_1493			At1D132_39690, At1D132_42280, At1D132_12560	dqs_0450		BA000040v2__7688, BA000040v2__6468, BA000040v2__6998, BA000040v2__3379, BA000040v2__3167, BA000040v2__4521						ROD_06651, ROD_45431		ECL_03051, ECL_04655	BW25113_0652, BW25113_3271	ECOLIN_03415, ECOLIN_18150	UTI89_C0648, UTI89_C3713		Hsero_3516, Hsero_3854	VK055_1853						BGK56_18195	PA5074, PA1339	PA14_67030, PA14_46950	PS417_01815, PS417_05545, PS417_26115, PS417_04915	Psyr_3911, Psyr_1075	RSc0484	RALBFv3_11565	RPSI07_2884	RSP_3950, RSP_1750	RPA2563	STM14_0770	AL513382v1__1381	SL1344_0651												B5S57_13725	VC_1359	VF_1535	YPO2612	
N0.HOG0000097	OG0000000	n1179													ROD_13881								VK055_2259											RSp0479	RALBFv3_21330	RPSI07_mp0412																					
N0.HOG0000098	OG0000000	n1187		ACT75_05950	ACT74_09345											CDR20291_2078										NMA1000																															
N0.HOG0000099	OG0000000	n1191													ROD_27891							Hsero_0065	VK055_0365																																		
N0.HOG0000100	OG0000000	n1194				At1D132_31630																													RALBFv3_20460	RPSI07_mp0513																					
N0.HOG0000101	OG0000000	n1198	A1S_2299			At1D132_20540					BCAL1057, BCAL2612, BCAM0762, BCAS0113				ROD_27141		ECL_03655	BW25113_2306	ECOLIN_12915	UTI89_C2590			VK055_4818							PA5152, PA2926, PA0892	PA14_68060, PA14_26210, PA14_52750	PS417_01500, PS417_21725, PS417_17605, PS417_06395	Psyr_4911, Psyr_3567, Psyr_3878				RSP_0371, RSP_3745		STM14_2897	AL513382v1__5063	SL1344_2320												B5S57_11205	VC_1864	VF_1588	YPO2777	
N0.HOG0000102	OG0000000	n1232																																RSc3408	RALBFv3_09245	RPSI07_0033																					
N0.HOG0000103	OG0000000	n1237				At1D132_32190					BCAM1563						ECL_01877						VK055_0585										Psyr_2890																								
N0.HOG0000104	OG0000000	n1242							BA000040v2__4536		BCAL0454																																														
N0.HOG0000105	OG0000000	n1243				At1D132_48050, At1D132_44370			BA000040v2__7291, BA000040v2__8212		BCAM0460											Hsero_2288	VK055_1962									PS417_21790, PS417_18120, PS417_12110	Psyr_2506				RSP_3458																				
N0.HOG0000106	OG0000000	n1254				At1D132_45790																	VK055_4544									PS417_18935																									
N0.HOG0000107	OG0000000	n1256							BA000040v2__2293		BCAM1469											Hsero_1163										PS417_15490																									
N0.HOG0000108	OG0000000	n1263				At1D132_10770					BCAS0574											Hsero_4252																																			
N0.HOG0000109	OG0000000	n1265				At1D132_10820, At1D132_43760			BA000040v2__4050													Hsero_1498, Hsero_0241, Hsero_4605																																			
N0.HOG0000110	OG0000000	n1270																												PA1256	PA14_47960																										
N0.HOG0000111	OG0000000	n1271											CC_1439	CCNA_01506	ROD_19721	CDR20291_0680	ECL_01371	BW25113_1917	ECOLIN_10560	UTI89_C2118			VK055_0029									PS417_01095	Psyr_0356						STM14_2369	AL513382v1__4005	SL1344_1880															YPO1848	
