locus_tag,essential,genome
BW25113_3441,FALSE,Escherichia_coli_BW25113
BW25113_3515,FALSE,Escherichia_coli_BW25113
BW25113_3520,FALSE,Escherichia_coli_BW25113
BW25113_3686,FALSE,Escherichia_coli_BW25113
BW25113_4216,FALSE,Escherichia_coli_BW25113
BW25113_4555,FALSE,Escherichia_coli_BW25113
BW25113_4565,FALSE,Escherichia_coli_BW25113
BW25113_4622,FALSE,Escherichia_coli_BW25113
BW25113_0034,FALSE,Escherichia_coli_BW25113
BW25113_0327,FALSE,Escherichia_coli_BW25113
BW25113_0358,FALSE,Escherichia_coli_BW25113
BW25113_3148,FALSE,Escherichia_coli_BW25113
BW25113_3563,FALSE,Escherichia_coli_BW25113
BW25113_3577,FALSE,Escherichia_coli_BW25113
BW25113_3659,FALSE,Escherichia_coli_BW25113
BW25113_3664,FALSE,Escherichia_coli_BW25113
BW25113_3748,FALSE,Escherichia_coli_BW25113
BW25113_3964,FALSE,Escherichia_coli_BW25113
BW25113_4089,FALSE,Escherichia_coli_BW25113
BW25113_4188,FALSE,Escherichia_coli_BW25113
BW25113_4366,FALSE,Escherichia_coli_BW25113
BW25113_4407,FALSE,Escherichia_coli_BW25113
BW25113_4684,FALSE,Escherichia_coli_BW25113
BW25113_0577,FALSE,Escherichia_coli_BW25113
BW25113_0719,FALSE,Escherichia_coli_BW25113
BW25113_1308,FALSE,Escherichia_coli_BW25113
BW25113_1952,FALSE,Escherichia_coli_BW25113
BW25113_2749,FALSE,Escherichia_coli_BW25113
BW25113_3103,FALSE,Escherichia_coli_BW25113
BW25113_3446,FALSE,Escherichia_coli_BW25113
BW25113_3508,FALSE,Escherichia_coli_BW25113
BW25113_3562,FALSE,Escherichia_coli_BW25113
BW25113_3709,FALSE,Escherichia_coli_BW25113
BW25113_3775,FALSE,Escherichia_coli_BW25113
BW25113_3874,FALSE,Escherichia_coli_BW25113
BW25113_3920,FALSE,Escherichia_coli_BW25113
BW25113_3921,FALSE,Escherichia_coli_BW25113
BW25113_4132,FALSE,Escherichia_coli_BW25113
BW25113_4356,FALSE,Escherichia_coli_BW25113
BW25113_4618,FALSE,Escherichia_coli_BW25113
BW25113_4679,FALSE,Escherichia_coli_BW25113
BW25113_4686,FALSE,Escherichia_coli_BW25113
BW25113_0557,FALSE,Escherichia_coli_BW25113
BW25113_1796,FALSE,Escherichia_coli_BW25113
BW25113_2333,FALSE,Escherichia_coli_BW25113
BW25113_3100,FALSE,Escherichia_coli_BW25113
BW25113_3104,FALSE,Escherichia_coli_BW25113
BW25113_3191,TRUE,Escherichia_coli_BW25113
BW25113_3192,FALSE,Escherichia_coli_BW25113
BW25113_3291,FALSE,Escherichia_coli_BW25113
BW25113_3330,FALSE,Escherichia_coli_BW25113
BW25113_3348,FALSE,Escherichia_coli_BW25113
BW25113_3382,FALSE,Escherichia_coli_BW25113
BW25113_3539,FALSE,Escherichia_coli_BW25113
BW25113_3570,FALSE,Escherichia_coli_BW25113
BW25113_3708,FALSE,Escherichia_coli_BW25113
BW25113_3819,FALSE,Escherichia_coli_BW25113
BW25113_4021,FALSE,Escherichia_coli_BW25113
BW25113_4060,FALSE,Escherichia_coli_BW25113
BW25113_0233,FALSE,Escherichia_coli_BW25113
BW25113_0250,FALSE,Escherichia_coli_BW25113
BW25113_0293,FALSE,Escherichia_coli_BW25113
BW25113_0305,FALSE,Escherichia_coli_BW25113
BW25113_0342,FALSE,Escherichia_coli_BW25113
BW25113_0547,FALSE,Escherichia_coli_BW25113
BW25113_0555,FALSE,Escherichia_coli_BW25113
BW25113_1481,FALSE,Escherichia_coli_BW25113
BW25113_3022,FALSE,Escherichia_coli_BW25113
BW25113_3336,FALSE,Escherichia_coli_BW25113
BW25113_3364,FALSE,Escherichia_coli_BW25113
BW25113_3584,FALSE,Escherichia_coli_BW25113
BW25113_3764,FALSE,Escherichia_coli_BW25113
BW25113_3847,FALSE,Escherichia_coli_BW25113
BW25113_3953,FALSE,Escherichia_coli_BW25113
BW25113_4133,FALSE,Escherichia_coli_BW25113
BW25113_4224,TRUE,Escherichia_coli_BW25113
BW25113_4402,FALSE,Escherichia_coli_BW25113
BW25113_4478,FALSE,Escherichia_coli_BW25113
BW25113_4501,FALSE,Escherichia_coli_BW25113
BW25113_4592,FALSE,Escherichia_coli_BW25113
BW25113_4620,FALSE,Escherichia_coli_BW25113
BW25113_0315,FALSE,Escherichia_coli_BW25113
BW25113_0543,FALSE,Escherichia_coli_BW25113
BW25113_0648,FALSE,Escherichia_coli_BW25113
BW25113_0850,FALSE,Escherichia_coli_BW25113
BW25113_2251,FALSE,Escherichia_coli_BW25113
BW25113_2668,FALSE,Escherichia_coli_BW25113
BW25113_2865,FALSE,Escherichia_coli_BW25113
BW25113_3014,FALSE,Escherichia_coli_BW25113
BW25113_3322,FALSE,Escherichia_coli_BW25113
BW25113_3369,FALSE,Escherichia_coli_BW25113
BW25113_3468,FALSE,Escherichia_coli_BW25113
BW25113_3691,FALSE,Escherichia_coli_BW25113
BW25113_3743,FALSE,Escherichia_coli_BW25113
BW25113_3810,FALSE,Escherichia_coli_BW25113
BW25113_3879,FALSE,Escherichia_coli_BW25113
BW25113_3887,FALSE,Escherichia_coli_BW25113
BW25113_3889,FALSE,Escherichia_coli_BW25113
BW25113_4045,FALSE,Escherichia_coli_BW25113
BW25113_4128,FALSE,Escherichia_coli_BW25113
BW25113_4145,FALSE,Escherichia_coli_BW25113
BW25113_4225,FALSE,Escherichia_coli_BW25113
BW25113_4487,FALSE,Escherichia_coli_BW25113
BW25113_4504,FALSE,Escherichia_coli_BW25113
BW25113_0108,FALSE,Escherichia_coli_BW25113
BW25113_0240,FALSE,Escherichia_coli_BW25113
BW25113_0545,FALSE,Escherichia_coli_BW25113
BW25113_1042,FALSE,Escherichia_coli_BW25113
BW25113_2533,TRUE,Escherichia_coli_BW25113
BW25113_2807,FALSE,Escherichia_coli_BW25113
BW25113_2889,FALSE,Escherichia_coli_BW25113
BW25113_2990,FALSE,Escherichia_coli_BW25113
BW25113_3024,FALSE,Escherichia_coli_BW25113
BW25113_3150,FALSE,Escherichia_coli_BW25113
BW25113_3351,FALSE,Escherichia_coli_BW25113
BW25113_3554,FALSE,Escherichia_coli_BW25113
BW25113_3566,FALSE,Escherichia_coli_BW25113
BW25113_3670,FALSE,Escherichia_coli_BW25113
BW25113_3784,FALSE,Escherichia_coli_BW25113
BW25113_3838,FALSE,Escherichia_coli_BW25113
BW25113_3888,FALSE,Escherichia_coli_BW25113
BW25113_3928,FALSE,Escherichia_coli_BW25113
BW25113_3932,FALSE,Escherichia_coli_BW25113
BW25113_4137,FALSE,Escherichia_coli_BW25113
BW25113_4168,TRUE,Escherichia_coli_BW25113
BW25113_4194,FALSE,Escherichia_coli_BW25113
BW25113_4310,FALSE,Escherichia_coli_BW25113
BW25113_4316,FALSE,Escherichia_coli_BW25113
BW25113_4326,FALSE,Escherichia_coli_BW25113
BW25113_4411,FALSE,Escherichia_coli_BW25113
BW25113_4558,FALSE,Escherichia_coli_BW25113
BW25113_4559,FALSE,Escherichia_coli_BW25113
BW25113_4590,FALSE,Escherichia_coli_BW25113
BW25113_4613,FALSE,Escherichia_coli_BW25113
BW25113_4675,FALSE,Escherichia_coli_BW25113
BW25113_0050,FALSE,Escherichia_coli_BW25113
BW25113_0440,FALSE,Escherichia_coli_BW25113
BW25113_0461,FALSE,Escherichia_coli_BW25113
BW25113_0580,FALSE,Escherichia_coli_BW25113
BW25113_0987,FALSE,Escherichia_coli_BW25113
BW25113_1277,TRUE,Escherichia_coli_BW25113
BW25113_2602,FALSE,Escherichia_coli_BW25113
BW25113_2826,FALSE,Escherichia_coli_BW25113
BW25113_3025,FALSE,Escherichia_coli_BW25113
BW25113_3143,FALSE,Escherichia_coli_BW25113
BW25113_3353,FALSE,Escherichia_coli_BW25113
BW25113_3361,FALSE,Escherichia_coli_BW25113
BW25113_3363,FALSE,Escherichia_coli_BW25113
BW25113_3434,FALSE,Escherichia_coli_BW25113
BW25113_3495,FALSE,Escherichia_coli_BW25113
BW25113_3503,FALSE,Escherichia_coli_BW25113
BW25113_3740,FALSE,Escherichia_coli_BW25113
BW25113_3753,FALSE,Escherichia_coli_BW25113
BW25113_3820,FALSE,Escherichia_coli_BW25113
BW25113_3866,FALSE,Escherichia_coli_BW25113
BW25113_3923,FALSE,Escherichia_coli_BW25113
BW25113_3960,FALSE,Escherichia_coli_BW25113
BW25113_4001,FALSE,Escherichia_coli_BW25113
BW25113_4018,FALSE,Escherichia_coli_BW25113
BW25113_4116,FALSE,Escherichia_coli_BW25113
BW25113_4126,FALSE,Escherichia_coli_BW25113
BW25113_4129,FALSE,Escherichia_coli_BW25113
BW25113_4144,FALSE,Escherichia_coli_BW25113
BW25113_4151,FALSE,Escherichia_coli_BW25113
BW25113_4410,FALSE,Escherichia_coli_BW25113
BW25113_4589,FALSE,Escherichia_coli_BW25113
BW25113_0009,FALSE,Escherichia_coli_BW25113
BW25113_0106,FALSE,Escherichia_coli_BW25113
BW25113_0254,FALSE,Escherichia_coli_BW25113
BW25113_0491,FALSE,Escherichia_coli_BW25113
BW25113_0516,FALSE,Escherichia_coli_BW25113
BW25113_1576,FALSE,Escherichia_coli_BW25113
BW25113_1811,FALSE,Escherichia_coli_BW25113
BW25113_2354,FALSE,Escherichia_coli_BW25113
BW25113_2617,FALSE,Escherichia_coli_BW25113
BW25113_2643,FALSE,Escherichia_coli_BW25113
BW25113_2833,FALSE,Escherichia_coli_BW25113
BW25113_2933,FALSE,Escherichia_coli_BW25113
BW25113_3518,FALSE,Escherichia_coli_BW25113
BW25113_3548,FALSE,Escherichia_coli_BW25113
BW25113_3611,FALSE,Escherichia_coli_BW25113
BW25113_3697,FALSE,Escherichia_coli_BW25113
BW25113_3705,TRUE,Escherichia_coli_BW25113
BW25113_4097,FALSE,Escherichia_coli_BW25113
BW25113_4140,FALSE,Escherichia_coli_BW25113
BW25113_4148,FALSE,Escherichia_coli_BW25113
BW25113_4156,FALSE,Escherichia_coli_BW25113
BW25113_4199,FALSE,Escherichia_coli_BW25113
BW25113_4217,FALSE,Escherichia_coli_BW25113
BW25113_4267,FALSE,Escherichia_coli_BW25113
BW25113_4307,FALSE,Escherichia_coli_BW25113
BW25113_4314,FALSE,Escherichia_coli_BW25113
BW25113_4415,FALSE,Escherichia_coli_BW25113
BW25113_4513,FALSE,Escherichia_coli_BW25113
BW25113_4520,FALSE,Escherichia_coli_BW25113
BW25113_4527,FALSE,Escherichia_coli_BW25113
BW25113_4588,FALSE,Escherichia_coli_BW25113
BW25113_0249,FALSE,Escherichia_coli_BW25113
BW25113_0295,FALSE,Escherichia_coli_BW25113
BW25113_0447,FALSE,Escherichia_coli_BW25113
BW25113_0460,FALSE,Escherichia_coli_BW25113
BW25113_1195,FALSE,Escherichia_coli_BW25113
BW25113_1215,TRUE,Escherichia_coli_BW25113
BW25113_1626,FALSE,Escherichia_coli_BW25113
BW25113_1675,FALSE,Escherichia_coli_BW25113
BW25113_1895,FALSE,Escherichia_coli_BW25113
BW25113_1963,FALSE,Escherichia_coli_BW25113
BW25113_2419,FALSE,Escherichia_coli_BW25113
BW25113_2690,FALSE,Escherichia_coli_BW25113
BW25113_2923,FALSE,Escherichia_coli_BW25113
BW25113_3115,FALSE,Escherichia_coli_BW25113
BW25113_3156,FALSE,Escherichia_coli_BW25113
BW25113_3279,FALSE,Escherichia_coli_BW25113
BW25113_3281,FALSE,Escherichia_coli_BW25113
BW25113_3283,FALSE,Escherichia_coli_BW25113
BW25113_3284,FALSE,Escherichia_coli_BW25113
BW25113_3337,FALSE,Escherichia_coli_BW25113
BW25113_3368,FALSE,Escherichia_coli_BW25113
BW25113_3506,FALSE,Escherichia_coli_BW25113
BW25113_3561,FALSE,Escherichia_coli_BW25113
BW25113_3651,FALSE,Escherichia_coli_BW25113
BW25113_3685,FALSE,Escherichia_coli_BW25113
BW25113_3918,FALSE,Escherichia_coli_BW25113
BW25113_3927,FALSE,Escherichia_coli_BW25113
BW25113_3965,FALSE,Escherichia_coli_BW25113
BW25113_4000,FALSE,Escherichia_coli_BW25113
BW25113_4032,FALSE,Escherichia_coli_BW25113
BW25113_4056,FALSE,Escherichia_coli_BW25113
BW25113_4157,FALSE,Escherichia_coli_BW25113
BW25113_4214,FALSE,Escherichia_coli_BW25113
BW25113_4397,FALSE,Escherichia_coli_BW25113
BW25113_4532,FALSE,Escherichia_coli_BW25113
BW25113_0013,FALSE,Escherichia_coli_BW25113
BW25113_0152,FALSE,Escherichia_coli_BW25113
BW25113_0472,FALSE,Escherichia_coli_BW25113
BW25113_0551,FALSE,Escherichia_coli_BW25113
BW25113_1809,FALSE,Escherichia_coli_BW25113
BW25113_1915,FALSE,Escherichia_coli_BW25113
BW25113_2041,FALSE,Escherichia_coli_BW25113
BW25113_2505,FALSE,Escherichia_coli_BW25113
BW25113_2563,TRUE,Escherichia_coli_BW25113
BW25113_2603,FALSE,Escherichia_coli_BW25113
BW25113_2998,FALSE,Escherichia_coli_BW25113
BW25113_3130,FALSE,Escherichia_coli_BW25113
BW25113_3137,FALSE,Escherichia_coli_BW25113
BW25113_3138,FALSE,Escherichia_coli_BW25113
BW25113_3242,FALSE,Escherichia_coli_BW25113
BW25113_3280,FALSE,Escherichia_coli_BW25113
BW25113_3332,FALSE,Escherichia_coli_BW25113
BW25113_3335,FALSE,Escherichia_coli_BW25113
BW25113_3392,FALSE,Escherichia_coli_BW25113
BW25113_3404,FALSE,Escherichia_coli_BW25113
BW25113_3478,FALSE,Escherichia_coli_BW25113
BW25113_3494,FALSE,Escherichia_coli_BW25113
BW25113_3583,FALSE,Escherichia_coli_BW25113
BW25113_3591,FALSE,Escherichia_coli_BW25113
BW25113_3661,FALSE,Escherichia_coli_BW25113
BW25113_3714,FALSE,Escherichia_coli_BW25113
BW25113_3769,FALSE,Escherichia_coli_BW25113
BW25113_3770,FALSE,Escherichia_coli_BW25113
BW25113_3845,FALSE,Escherichia_coli_BW25113
BW25113_3911,FALSE,Escherichia_coli_BW25113
BW25113_3945,FALSE,Escherichia_coli_BW25113
BW25113_3955,FALSE,Escherichia_coli_BW25113
BW25113_4131,FALSE,Escherichia_coli_BW25113
BW25113_4207,FALSE,Escherichia_coli_BW25113
BW25113_4254,FALSE,Escherichia_coli_BW25113
BW25113_4302,FALSE,Escherichia_coli_BW25113
BW25113_4388,FALSE,Escherichia_coli_BW25113
BW25113_4482,FALSE,Escherichia_coli_BW25113
BW25113_4523,FALSE,Escherichia_coli_BW25113
BW25113_4551,FALSE,Escherichia_coli_BW25113
BW25113_0078,FALSE,Escherichia_coli_BW25113
BW25113_0112,FALSE,Escherichia_coli_BW25113
BW25113_0135,FALSE,Escherichia_coli_BW25113
BW25113_0138,FALSE,Escherichia_coli_BW25113
BW25113_0139,FALSE,Escherichia_coli_BW25113
BW25113_0225,FALSE,Escherichia_coli_BW25113
BW25113_0468,FALSE,Escherichia_coli_BW25113
BW25113_0572,FALSE,Escherichia_coli_BW25113
BW25113_0786,FALSE,Escherichia_coli_BW25113
BW25113_0814,FALSE,Escherichia_coli_BW25113
BW25113_0836,FALSE,Escherichia_coli_BW25113
BW25113_0849,FALSE,Escherichia_coli_BW25113
BW25113_1461,FALSE,Escherichia_coli_BW25113
BW25113_2618,FALSE,Escherichia_coli_BW25113
BW25113_2626,FALSE,Escherichia_coli_BW25113
BW25113_2670,FALSE,Escherichia_coli_BW25113
BW25113_2845,FALSE,Escherichia_coli_BW25113
BW25113_3039,FALSE,Escherichia_coli_BW25113
BW25113_3141,FALSE,Escherichia_coli_BW25113
BW25113_3323,FALSE,Escherichia_coli_BW25113
BW25113_3333,FALSE,Escherichia_coli_BW25113
BW25113_3360,FALSE,Escherichia_coli_BW25113
BW25113_3374,FALSE,Escherichia_coli_BW25113
BW25113_3400,FALSE,Escherichia_coli_BW25113
BW25113_3439,FALSE,Escherichia_coli_BW25113
BW25113_3485,FALSE,Escherichia_coli_BW25113
BW25113_3502,FALSE,Escherichia_coli_BW25113
BW25113_3574,FALSE,Escherichia_coli_BW25113
BW25113_3586,FALSE,Escherichia_coli_BW25113
BW25113_3601,FALSE,Escherichia_coli_BW25113
BW25113_3635,FALSE,Escherichia_coli_BW25113
BW25113_3825,FALSE,Escherichia_coli_BW25113
BW25113_3939,FALSE,Escherichia_coli_BW25113
BW25113_3998,FALSE,Escherichia_coli_BW25113
BW25113_4049,FALSE,Escherichia_coli_BW25113
BW25113_4115,FALSE,Escherichia_coli_BW25113
BW25113_4121,FALSE,Escherichia_coli_BW25113
BW25113_4138,FALSE,Escherichia_coli_BW25113
BW25113_4149,FALSE,Escherichia_coli_BW25113
BW25113_4206,FALSE,Escherichia_coli_BW25113
BW25113_4252,FALSE,Escherichia_coli_BW25113
BW25113_4266,FALSE,Escherichia_coli_BW25113
BW25113_4365,FALSE,Escherichia_coli_BW25113
BW25113_0140,FALSE,Escherichia_coli_BW25113
BW25113_0251,FALSE,Escherichia_coli_BW25113
BW25113_0277,FALSE,Escherichia_coli_BW25113
BW25113_0384,FALSE,Escherichia_coli_BW25113
BW25113_0509,FALSE,Escherichia_coli_BW25113
BW25113_0607,FALSE,Escherichia_coli_BW25113
BW25113_0689,FALSE,Escherichia_coli_BW25113
BW25113_1156,FALSE,Escherichia_coli_BW25113
BW25113_2359,FALSE,Escherichia_coli_BW25113
BW25113_2363,FALSE,Escherichia_coli_BW25113
BW25113_2672,FALSE,Escherichia_coli_BW25113
BW25113_2756,FALSE,Escherichia_coli_BW25113
BW25113_2916,FALSE,Escherichia_coli_BW25113
BW25113_3029,FALSE,Escherichia_coli_BW25113
BW25113_3043,FALSE,Escherichia_coli_BW25113
BW25113_3140,FALSE,Escherichia_coli_BW25113
BW25113_3142,FALSE,Escherichia_coli_BW25113
BW25113_3206,FALSE,Escherichia_coli_BW25113
BW25113_3355,FALSE,Escherichia_coli_BW25113
BW25113_3421,FALSE,Escherichia_coli_BW25113
BW25113_3472,FALSE,Escherichia_coli_BW25113
BW25113_3632,FALSE,Escherichia_coli_BW25113
BW25113_3675,FALSE,Escherichia_coli_BW25113
BW25113_3676,FALSE,Escherichia_coli_BW25113
BW25113_3698,FALSE,Escherichia_coli_BW25113
BW25113_3716,FALSE,Escherichia_coli_BW25113
BW25113_3745,FALSE,Escherichia_coli_BW25113
BW25113_3774,FALSE,Escherichia_coli_BW25113
BW25113_3785,FALSE,Escherichia_coli_BW25113
BW25113_3794,FALSE,Escherichia_coli_BW25113
BW25113_3813,FALSE,Escherichia_coli_BW25113
BW25113_3895,FALSE,Escherichia_coli_BW25113
BW25113_3959,FALSE,Escherichia_coli_BW25113
BW25113_3990,FALSE,Escherichia_coli_BW25113
BW25113_4034,FALSE,Escherichia_coli_BW25113
BW25113_4062,FALSE,Escherichia_coli_BW25113
BW25113_4075,FALSE,Escherichia_coli_BW25113
BW25113_4306,FALSE,Escherichia_coli_BW25113
BW25113_4319,FALSE,Escherichia_coli_BW25113
BW25113_4409,FALSE,Escherichia_coli_BW25113
BW25113_4553,FALSE,Escherichia_coli_BW25113
BW25113_0030,FALSE,Escherichia_coli_BW25113
BW25113_0119,FALSE,Escherichia_coli_BW25113
BW25113_0328,FALSE,Escherichia_coli_BW25113
BW25113_0354,FALSE,Escherichia_coli_BW25113
BW25113_0433,FALSE,Escherichia_coli_BW25113
BW25113_0443,FALSE,Escherichia_coli_BW25113
BW25113_0459,FALSE,Escherichia_coli_BW25113
BW25113_0534,FALSE,Escherichia_coli_BW25113
BW25113_0645,FALSE,Escherichia_coli_BW25113
BW25113_0989,FALSE,Escherichia_coli_BW25113
BW25113_1021,FALSE,Escherichia_coli_BW25113
BW25113_1039,FALSE,Escherichia_coli_BW25113
BW25113_1043,FALSE,Escherichia_coli_BW25113
BW25113_1625,FALSE,Escherichia_coli_BW25113
BW25113_1750,FALSE,Escherichia_coli_BW25113
BW25113_2646,FALSE,Escherichia_coli_BW25113
BW25113_2719,FALSE,Escherichia_coli_BW25113
BW25113_2767,FALSE,Escherichia_coli_BW25113
BW25113_2792,FALSE,Escherichia_coli_BW25113
BW25113_2831,FALSE,Escherichia_coli_BW25113
BW25113_2888,FALSE,Escherichia_coli_BW25113
BW25113_2939,FALSE,Escherichia_coli_BW25113
BW25113_2972,FALSE,Escherichia_coli_BW25113
BW25113_2975,FALSE,Escherichia_coli_BW25113
BW25113_3028,FALSE,Escherichia_coli_BW25113
BW25113_3037,FALSE,Escherichia_coli_BW25113
BW25113_3093,FALSE,Escherichia_coli_BW25113
BW25113_3096,FALSE,Escherichia_coli_BW25113
BW25113_3113,TRUE,Escherichia_coli_BW25113
BW25113_3207,FALSE,Escherichia_coli_BW25113
BW25113_3238,FALSE,Escherichia_coli_BW25113
BW25113_3264,FALSE,Escherichia_coli_BW25113
BW25113_3546,FALSE,Escherichia_coli_BW25113
BW25113_3589,FALSE,Escherichia_coli_BW25113
BW25113_3598,FALSE,Escherichia_coli_BW25113
BW25113_3605,FALSE,Escherichia_coli_BW25113
BW25113_3606,FALSE,Escherichia_coli_BW25113
BW25113_3773,FALSE,Escherichia_coli_BW25113
BW25113_3807,FALSE,Escherichia_coli_BW25113
BW25113_3826,FALSE,Escherichia_coli_BW25113
BW25113_3872,FALSE,Escherichia_coli_BW25113
BW25113_3882,FALSE,Escherichia_coli_BW25113
BW25113_3950,FALSE,Escherichia_coli_BW25113
BW25113_4023,FALSE,Escherichia_coli_BW25113
BW25113_4042,FALSE,Escherichia_coli_BW25113
BW25113_4120,FALSE,Escherichia_coli_BW25113
BW25113_4182,FALSE,Escherichia_coli_BW25113
BW25113_4184,FALSE,Escherichia_coli_BW25113
BW25113_4222,FALSE,Escherichia_coli_BW25113
BW25113_4251,FALSE,Escherichia_coli_BW25113
BW25113_0020,FALSE,Escherichia_coli_BW25113
BW25113_0120,FALSE,Escherichia_coli_BW25113
BW25113_0187,FALSE,Escherichia_coli_BW25113
BW25113_0301,FALSE,Escherichia_coli_BW25113
BW25113_0318,FALSE,Escherichia_coli_BW25113
BW25113_0319,FALSE,Escherichia_coli_BW25113
BW25113_0325,FALSE,Escherichia_coli_BW25113
BW25113_0412,FALSE,Escherichia_coli_BW25113
BW25113_0495,FALSE,Escherichia_coli_BW25113
BW25113_0530,FALSE,Escherichia_coli_BW25113
BW25113_0532,FALSE,Escherichia_coli_BW25113
BW25113_0874,FALSE,Escherichia_coli_BW25113
BW25113_1069,TRUE,Escherichia_coli_BW25113
BW25113_1205,FALSE,Escherichia_coli_BW25113
BW25113_1480,FALSE,Escherichia_coli_BW25113
BW25113_1795,FALSE,Escherichia_coli_BW25113
BW25113_2005,FALSE,Escherichia_coli_BW25113
BW25113_2377,FALSE,Escherichia_coli_BW25113
BW25113_2586,FALSE,Escherichia_coli_BW25113
BW25113_2645,FALSE,Escherichia_coli_BW25113
BW25113_2739,FALSE,Escherichia_coli_BW25113
BW25113_2777,FALSE,Escherichia_coli_BW25113
BW25113_2790,FALSE,Escherichia_coli_BW25113
BW25113_3049,FALSE,Escherichia_coli_BW25113
BW25113_3098,FALSE,Escherichia_coli_BW25113
BW25113_3157,FALSE,Escherichia_coli_BW25113
BW25113_3208,FALSE,Escherichia_coli_BW25113
BW25113_3216,FALSE,Escherichia_coli_BW25113
BW25113_3328,FALSE,Escherichia_coli_BW25113
BW25113_3411,FALSE,Escherichia_coli_BW25113
BW25113_3412,FALSE,Escherichia_coli_BW25113
BW25113_3475,FALSE,Escherichia_coli_BW25113
BW25113_3501,FALSE,Escherichia_coli_BW25113
BW25113_3660,FALSE,Escherichia_coli_BW25113
BW25113_3668,FALSE,Escherichia_coli_BW25113
BW25113_3710,FALSE,Escherichia_coli_BW25113
BW25113_3711,FALSE,Escherichia_coli_BW25113
BW25113_3746,FALSE,Escherichia_coli_BW25113
BW25113_3848,FALSE,Escherichia_coli_BW25113
BW25113_3876,FALSE,Escherichia_coli_BW25113
BW25113_3884,FALSE,Escherichia_coli_BW25113
BW25113_3924,FALSE,Escherichia_coli_BW25113
BW25113_3925,FALSE,Escherichia_coli_BW25113
BW25113_3946,FALSE,Escherichia_coli_BW25113
BW25113_3958,FALSE,Escherichia_coli_BW25113
BW25113_4004,FALSE,Escherichia_coli_BW25113
BW25113_4027,FALSE,Escherichia_coli_BW25113
BW25113_4083,FALSE,Escherichia_coli_BW25113
BW25113_4092,FALSE,Escherichia_coli_BW25113
BW25113_4195,FALSE,Escherichia_coli_BW25113
BW25113_4213,FALSE,Escherichia_coli_BW25113
BW25113_4298,FALSE,Escherichia_coli_BW25113
BW25113_4305,FALSE,Escherichia_coli_BW25113
BW25113_4329,FALSE,Escherichia_coli_BW25113
BW25113_4536,FALSE,Escherichia_coli_BW25113
BW25113_4546,FALSE,Escherichia_coli_BW25113
BW25113_4566,FALSE,Escherichia_coli_BW25113
BW25113_4596,FALSE,Escherichia_coli_BW25113
BW25113_0220,FALSE,Escherichia_coli_BW25113
BW25113_0224,FALSE,Escherichia_coli_BW25113
BW25113_0234,FALSE,Escherichia_coli_BW25113
BW25113_0238,FALSE,Escherichia_coli_BW25113
