chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
pZM32	20336	20949	ZMO1_ZMOp32x020,ZMO1_ZMOp32x021;2	ZMO1_ZMOp32x021	2	.	+	ZMO1_ZMOp32x021	MazF toxin	AVZ43143.1
pZM32	20950	24727	ZMO1_ZMOp32x022,ZMO1_ZMOp32x023;1	ZMO1_ZMOp32x022	1	.	+	ZMO1_ZMOp32x022	SIR2-like protein	AVZ43144.1
pZM32	20950	24727	ZMO1_ZMOp32x022,ZMO1_ZMOp32x023;1	ZMO1_ZMOp32x023	1	.	+	ZMO1_ZMOp32x023	MTH538 TIR-like domain	AVZ43145.1
pZM32	20950	24556	ZMO1_ZMOp32x022,ZMO1_ZMOp32x023;2	ZMO1_ZMOp32x022	2	.	+	ZMO1_ZMOp32x022	SIR2-like protein	AVZ43144.1
pZM32	20950	24556	ZMO1_ZMOp32x022,ZMO1_ZMOp32x023;2	ZMO1_ZMOp32x023	2	.	+	ZMO1_ZMOp32x023	MTH538 TIR-like domain	AVZ43145.1
pZM32	23758	24740	ZMO1_ZMOp32x032,ZMO1_ZMOp32x024,ZMO1_ZMOp32x033;1	ZMO1_ZMOp32x032	1	.	-	ZMO1_ZMOp32x032	hypothetical protein	QIZ64092.1
pZM32	23758	24740	ZMO1_ZMOp32x032,ZMO1_ZMOp32x024,ZMO1_ZMOp32x033;1	ZMO1_ZMOp32x024	1	.	-	ZMO1_ZMOp32x024	phage integrase	AVZ43146.2
pZM32	23758	24740	ZMO1_ZMOp32x032,ZMO1_ZMOp32x024,ZMO1_ZMOp32x033;1	ZMO1_ZMOp32x033	1	.	-	ZMO1_ZMOp32x033	hypothetical protein	QIZ64093.1
pZM32	25347	31622	ZMO1_ZMOp32x025,ZMO1_ZMOp32x034,ZMO1_ZMOp32x028;1	ZMO1_ZMOp32x025	1	.	+	ZMO1_ZMOp32x025	Type III restriction endonuclease subunit R	AVZ43147.1
pZM32	25347	31622	ZMO1_ZMOp32x025,ZMO1_ZMOp32x034,ZMO1_ZMOp32x028;1	ZMO1_ZMOp32x034	1	.	+	ZMO1_ZMOp32x034	SAM-dependent methyltransferase	QIZ64094.1
pZM32	25347	31622	ZMO1_ZMOp32x025,ZMO1_ZMOp32x034,ZMO1_ZMOp32x028;1	ZMO1_ZMOp32x028	1	.	+	ZMO1_ZMOp32x028	Type I restriction endonuclease HsdS	AVZ43150.2
